SAMPLEID,LATITUDE,LONGITUDE,SAMPLETYPE,COLLARID,FROMDEPTH,TODEPTH,Cu_ppm,SPURIOUS,Dataset
19903626,-31.353289,121.506004,DRILLDD,931940,101.83,224334.0,62.0,0.0,Drillhole Original
19903593,-31.353289,121.506004,DRILLDD,931940,56.0,224162.0,91.0,0.0,Drillhole Original
19903592,-31.353289,121.506004,DRILLDD,931940,52.0,224161.0,104.0,0.0,Drillhole Original
19903591,-31.353289,121.506004,DRILLDD,931940,48.0,224160.0,93.0,0.0,Drillhole Original
19903614,-31.353289,121.506004,DRILLDD,931940,86.3,224322.0,24.0,1.0,Drillhole Original
19903590,-31.353289,121.506004,DRILLDD,931940,44.0,224159.0,91.0,0.0,Drillhole Original
19903589,-31.353289,121.506004,DRILLDD,931940,40.0,224158.0,89.0,0.0,Drillhole Original
19903594,-31.353289,121.506004,DRILLDD,931940,60.0,224163.0,89.0,0.0,Drillhole Original
19903595,-31.353289,121.506004,DRILLDD,931940,64.0,224164.0,107.0,0.0,Drillhole Original
19903596,-31.353289,121.506004,DRILLDD,931940,68.0,224165.0,96.0,0.0,Drillhole Original
19903597,-31.353289,121.506004,DRILLDD,931940,69.0,224166.0,91.0,0.0,Drillhole Original
19903598,-31.353289,121.506004,DRILLDD,931940,74.0,224306.0,54.0,0.0,Drillhole Original
19903599,-31.353289,121.506004,DRILLDD,931940,75.0,224307.0,55.0,0.0,Drillhole Original
19903600,-31.353289,121.506004,DRILLDD,931940,75.66,224308.0,56.0,0.0,Drillhole Original
19903601,-31.353289,121.506004,DRILLDD,931940,76.62,224309.0,47.0,0.0,Drillhole Original
19903602,-31.353289,121.506004,DRILLDD,931940,77.7,224310.0,153.0,0.0,Drillhole Original
19903603,-31.353289,121.506004,DRILLDD,931940,78.6,224311.0,176.0,1.0,Drillhole Original
19903604,-31.353289,121.506004,DRILLDD,931940,79.12,224312.0,206.0,0.0,Drillhole Original
19903605,-31.353289,121.506004,DRILLDD,931940,79.83,224313.0,98.0,0.0,Drillhole Original
19903606,-31.353289,121.506004,DRILLDD,931940,80.4,224314.0,143.0,0.0,Drillhole Original
19903607,-31.353289,121.506004,DRILLDD,931940,81.12,224315.0,50.0,0.0,Drillhole Original
19903608,-31.353289,121.506004,DRILLDD,931940,81.62,224316.0,30.0,0.0,Drillhole Original
19903609,-31.353289,121.506004,DRILLDD,931940,82.09,224317.0,28.0,0.0,Drillhole Original
19903610,-31.353289,121.506004,DRILLDD,931940,82.6,224318.0,115.0,0.0,Drillhole Original
19903580,-31.353289,121.506004,DRILLDD,931940,4.0,224149.0,110.0,0.0,Drillhole Original
19903612,-31.353289,121.506004,DRILLDD,931940,84.6,224320.0,31.0,0.0,Drillhole Original
19904480,-31.353025,121.50616,DRILLRC,931963,52.0,223650.0,112.0,0.0,Drillhole Original
