Dataset,g_lat,g_lon,Count
Drillhole Original,-647,2395,384
Drillhole Original,-584,2342,380
Drillhole Original,-638,2408,379
Drillhole Original,-578,2363,379
Drillhole Original,-624,2422,378
Drillhole Original,-638,2350,376
Drillhole Original,-653,2378,375
Drillhole Original,-625,2373,372
Drillhole Original,-665,2366,370
Drillhole Original,-656,2386,369
Drillhole Original,-549,2322,368
Drillhole Original,-664,2430,365
Drillhole Original,-621,2331,365
Drillhole Original,-690,2352,363
Drillhole Original,-586,2327,361
Drillhole Original,-636,2430,361
Drillhole Original,-547,2320,358
Drillhole Original,-585,2325,358
Drillhole Original,-662,2394,358
Drillhole Original,-603,2402,358
Drillhole Original,-639,2381,357
Drillhole Original,-610,2377,356
Drillhole Original,-604,2372,354
Drillhole Original,-639,2368,352
Drillhole Original,-665,2430,351
Drillhole Original,-646,2394,350
Drillhole Original,-559,2322,350
Drillhole Original,-615,2368,343
Drillhole Original,-668,2372,342
Drillhole Original,-676,2404,341
Drillhole Original,-583,2342,339
Drillhole Original,-633,2362,336
Drillhole Original,-612,2370,335
Drillhole Original,-653,2415,330
Drillhole Original,-644,2434,330
Drillhole Original,-632,2385,326
Drillhole Original,-616,2391,326
Drillhole Original,-650,2325,325
Drillhole Original,-582,2336,324
Drillhole Original,-645,2394,324
Drillhole Original,-691,2343,323
Drillhole Original,-613,2418,321
Drillhole Original,-638,2397,320
Drillhole Original,-606,2378,318
Drillhole Original,-560,2319,316
Drillhole Original,-629,2370,316
Drillhole Original,-614,2333,314
Drillhole Original,-607,2399,312
Drillhole Original,-669,2371,310
Drillhole Original,-639,2341,309
Drillhole Original,-630,2346,309
Drillhole Original,-682,2326,306
Drillhole Original,-638,2381,305
Drillhole Original,-613,2370,302
Drillhole Original,-584,2371,302
Drillhole Original,-646,2412,300
Drillhole Original,-634,2362,298
Drillhole Original,-667,2362,297
Drillhole Original,-628,2386,296
Drillhole Original,-641,2380,290
Drillhole Original,-578,2338,288
Drillhole Original,-631,2429,287
Drillhole Original,-656,2357,284
Drillhole Original,-646,2411,284
Drillhole Original,-622,2368,284
Drillhole Original,-628,2388,281
Drillhole Original,-563,2336,280
Drillhole Original,-652,2367,280
Drillhole Original,-651,2325,277
Drillhole Original,-624,2361,274
Drillhole Original,-594,2343,273
Drillhole Original,-569,2325,272
Drillhole Original,-651,2421,272
Drillhole Original,-640,2343,271
Drillhole Original,-565,2330,271
Drillhole Original,-627,2332,270
Drillhole Original,-576,2363,270
Drillhole Original,-549,2310,269
Drillhole Original,-642,2376,269
Drillhole Original,-637,2397,267
Drillhole Original,-625,2317,266
Drillhole Original,-582,2347,266
Drillhole Original,-651,2326,265
Drillhole Original,-571,2336,264
Drillhole Original,-638,2406,264
Drillhole Original,-586,2346,263
Drillhole Original,-604,2384,263
Drillhole Original,-667,2418,262
Drillhole Original,-614,2379,261
Drillhole Original,-634,2424,261
Drillhole Original,-639,2404,261
Drillhole Original,-623,2332,260
Drillhole Original,-597,2374,258
Drillhole Original,-616,2366,257
Drillhole Original,-616,2315,256
Drillhole Original,-631,2423,255
Drillhole Original,-598,2373,255
Drillhole Original,-635,2377,255
Drillhole Original,-618,2382,255
Drillhole Original,-608,2324,255
Drillhole Original,-635,2382,254
Drillhole Original,-626,2375,253
Drillhole Original,-589,2381,253
Drillhole Original,-579,2329,252
Drillhole Original,-587,2327,252
Drillhole Original,-639,2369,251
Drillhole Original,-602,2373,251
Drillhole Original,-623,2385,250
Drillhole Original,-629,2429,250
Drillhole Original,-580,2320,249
Drillhole Original,-633,2394,249
Drillhole Original,-637,2368,248
Drillhole Original,-613,2378,248
Drillhole Original,-590,2381,248
Drillhole Original,-645,2345,246
Drillhole Original,-645,2404,244
Drillhole Original,-691,2342,242
Drillhole Original,-651,2414,242
Drillhole Original,-586,2339,239
Drillhole Original,-637,2430,238
Drillhole Original,-640,2380,237
Drillhole Original,-636,2382,237
Drillhole Original,-573,2326,236
Drillhole Original,-683,2321,234
Drillhole Original,-627,2400,233
Drillhole Original,-637,2434,233
Drillhole Original,-595,2386,233
Drillhole Original,-622,2367,232
Drillhole Original,-576,2328,232
Drillhole Original,-631,2432,231
Drillhole Original,-643,2431,231
Drillhole Original,-643,2435,229
Drillhole Original,-577,2328,228
Drillhole Original,-662,2366,227
Drillhole Original,-632,2423,225
Drillhole Original,-663,2420,225
Drillhole Original,-654,2359,224
Drillhole Original,-582,2337,224
Drillhole Original,-627,2370,224
Drillhole Original,-632,2432,224
Drillhole Original,-623,2368,224
Drillhole Original,-621,2384,224
Drillhole Original,-595,2392,222
Drillhole Original,-651,2416,222
Drillhole Original,-586,2334,219
Drillhole Original,-651,2378,219
Drillhole Original,-598,2331,218
Drillhole Original,-567,2355,218
Drillhole Original,-634,2425,218
Drillhole Original,-639,2396,218
Drillhole Original,-639,2342,218
Drillhole Original,-619,2364,217
Drillhole Original,-641,2433,217
Drillhole Original,-644,2345,216
Drillhole Original,-622,2362,216
Drillhole Original,-628,2419,215
Drillhole Original,-639,2406,215
Drillhole Original,-644,2424,215
Drillhole Original,-547,2321,213
Drillhole Original,-600,2335,213
Drillhole Original,-620,2384,212
Drillhole Original,-689,2354,212
Drillhole Original,-638,2342,211
Drillhole Original,-637,2350,210
