SAMPLEID_dl,DLAT_dl,DLONG_dl,SAMPLETYPE_dl,Cu_ppm_dl,SAMPLEID_ori,DLAT_ori,DLONG_ori,SAMPLETYPE_ori,Cu_ppm_ori,SPURIOUS
11708697,-31.022112,121.19334,SHALL,21.161,7093953,-31.022112,121.19334,SHALL,0.025,0
11708461,-31.02029,121.193344,SHALL,22.008,7093647,-31.02029,121.193344,SHALL,0.034,0
11708349,-31.019398,121.193344,SHALL,39.887,7093500,-31.019398,121.193344,SHALL,0.061000004,0
11708244,-31.018919,121.193344,SHALL,24.619,7093394,-31.018919,121.193344,SHALL,0.07700001,0
11710607,-31.021563,121.193375,SHALL,18.638,7093834,-31.021563,121.193375,SHALL,0.029000001,0
11708576,-31.021137,121.193375,SHALL,20.33,7093797,-31.021137,121.193375,SHALL,0.035,0
11710265,-31.018486,121.193375,SHALL,3.117,7093356,-31.018486,121.193375,SHALL,0.036000002,0
11710380,-31.019775,121.19339,SHALL,10.694,7093537,-31.019775,121.19339,SHALL,0.023000002,0
11710166,-31.017973,121.19339,SHALL,3.522,7093255,-31.017973,121.19339,SHALL,0.095000006,0
11708135,-31.017567,121.19341,SHALL,40.719,7093217,-31.017567,121.19341,SHALL,0.045,0
10707928,-31.04508,121.19342,SOIL,3.609,10708239,-31.04508,121.19342,SOIL,50.0,0
10707885,-31.041473,121.193474,SOIL,3.299,10708196,-31.041473,121.193474,SOIL,49.9,0
10707903,-31.043278,121.19348,SOIL,4.34,10708214,-31.043278,121.19348,SOIL,54.5,0
11708847,-31.023426,121.19375,SHALL,24.841,7094150,-31.023426,121.19375,SHALL,0.069000006,0
11710603,-31.021116,121.1938,SHALL,23.729,7093798,-31.021116,121.1938,SHALL,0.05,0
11710491,-31.020721,121.19383,SHALL,2.821,7093683,-31.020721,121.19383,SHALL,0.022000002,0
11710735,-31.022497,121.19385,SHALL,8.247,7093989,-31.022497,121.19385,SHALL,0.038000003,0
11709759,-31.023832,121.19387,SHALL,31.198,11711785,-31.023832,121.19387,SHALL,32.8,0
11708580,-31.021614,121.19387,SHALL,23.308,7093833,-31.021614,121.19387,SHALL,0.037,0
11708698,-31.022064,121.19388,SHALL,25.026,7093954,-31.022064,121.19388,SHALL,0.027,0
11708462,-31.020306,121.19388,SHALL,21.405,7093648,-31.020306,121.19388,SHALL,0.044000003,0
11708831,-31.022995,121.193886,SHALL,27.765,7094114,-31.022995,121.193886,SHALL,0.015000001,0
11710376,-31.01935,121.193886,SHALL,3.803,7093501,-31.01935,121.193886,SHALL,0.036000002,0
11710269,-31.018953,121.19389,SHALL,10.891,7093393,-31.018953,121.19389,SHALL,0.080000006,0
10708069,-31.046865,121.19392,SOIL,3.609,10708380,-31.046865,121.19392,SOIL,49.1,0
11710165,-31.018034,121.19392,SHALL,7.376,7093254,-31.018034,121.19392,SHALL,0.018000001,0
11710379,-31.019838,121.193924,SHALL,3.485,7093536,-31.019838,121.193924,SHALL,0.040000003,0
11708240,-31.01844,121.193924,SHALL,21.632,7093357,-31.01844,121.193924,SHALL,0.017,0
10707927,-31.045097,121.19394,SOIL,3.832,10708238,-31.045097,121.19394,SOIL,50.2,0
10707904,-31.043283,121.19395,SOIL,3.609,10708215,-31.043283,121.19395,SOIL,74.8,0
11710162,-31.017555,121.19396,SHALL,3.594,7093218,-31.017555,121.19396,SHALL,0.032,0
10707884,-31.04149,121.19401,SOIL,3.327,10708195,-31.04149,121.19401,SOIL,40.3,0
11710872,-31.02348,121.194336,SHALL,17.865,7094149,-31.02348,121.194336,SHALL,0.031000001,0
11710858,-31.02301,121.19435,SHALL,10.065,7094115,-31.02301,121.19435,SHALL,0.023000002,0
11710734,-31.022488,121.19435,SHALL,11.424,7093988,-31.022488,121.19435,SHALL,0.05,0
11710604,-31.021206,121.19436,SHALL,3.366,7093799,-31.021206,121.19436,SHALL,0.016,0
11709758,-31.023794,121.19437,SHALL,30.132,11711784,-31.023794,121.19437,SHALL,29.9,0
11710605,-31.021585,121.19437,SHALL,5.035,7093832,-31.021585,121.19437,SHALL,0.059000004,0
11710490,-31.02072,121.19437,SHALL,6.786,7093682,-31.02072,121.19437,SHALL,0.029000001,0
11708352,-31.01979,121.19438,SHALL,33.864,7093535,-31.01979,121.19438,SHALL,0.035,0
11710725,-31.022055,121.194405,SHALL,3.319,7093955,-31.022055,121.194405,SHALL,0.042000003,0
11710489,-31.020332,121.194405,SHALL,10.042,7093649,-31.020332,121.194405,SHALL,0.045,0
11710377,-31.019358,121.194405,SHALL,8.064,7093502,-31.019358,121.194405,SHALL,0.021000002,0
11710268,-31.018951,121.19442,SHALL,3.636,7093392,-31.018951,121.19442,SHALL,0.032,0
11708137,-31.017582,121.19443,SHALL,24.604,7093219,-31.017582,121.19443,SHALL,0.008,0
10708068,-31.046917,121.194435,SOIL,8.83,10708379,-31.046917,121.194435,SOIL,55.4,0
11708138,-31.018005,121.194435,SHALL,20.668,7093253,-31.018005,121.194435,SHALL,0.054,0
10707926,-31.045103,121.19445,SOIL,3.197,10708237,-31.045103,121.19445,SOIL,53.6,0
11710267,-31.018448,121.19449,SHALL,3.504,7093358,-31.018448,121.19449,SHALL,0.057000004,0
10707905,-31.04331,121.194534,SOIL,3.137,10708216,-31.04331,121.194534,SOIL,58.8,0
10707883,-31.041489,121.19454,SOIL,3.137,10708194,-31.041489,121.19454,SOIL,47.2,0
11709757,-31.023947,121.19484,SHALL,28.868,11711783,-31.023947,121.19484,SHALL,49.2,0
11708845,-31.02346,121.19487,SHALL,27.313,7094148,-31.02346,121.19487,SHALL,0.027,0
11710733,-31.022568,121.19491,SHALL,3.576,7093987,-31.022568,121.19491,SHALL,0.030000001,0
11710859,-31.023008,121.194916,SHALL,22.344,7094116,-31.023008,121.194916,SHALL,0.037,0
10708067,-31.046915,121.19494,SOIL,3.431,10708378,-31.046915,121.19494,SOIL,43.7,0
10707925,-31.045113,121.19498,SOIL,3.431,10708236,-31.045113,121.19498,SOIL,59.5,0
10707906,-31.043299,121.195,SOIL,3.431,10708217,-31.043299,121.195,SOIL,62.8,0
10707882,-31.041494,121.19505,SOIL,3.327,10708193,-31.041494,121.19505,SOIL,64.7,0
7094743,-31.01131,121.1951,SHALL,3.255,7092301,-31.01131,121.1951,SHALL,0.105000004,0
3050022,-30.981985,121.19521,SOIL,23.066,3050021,-30.981985,121.19521,SOIL,64.6,0
11708844,-31.023449,121.19541,SHALL,20.523,7094147,-31.023449,121.19541,SHALL,0.044000003,0
11710732,-31.022547,121.19541,SHALL,13.797,7093986,-31.022547,121.19541,SHALL,0.041,0
11708834,-31.023016,121.19542,SHALL,29.825,7094117,-31.023016,121.19542,SHALL,0.032,0
11709756,-31.023973,121.19546,SHALL,30.67,11711782,-31.023973,121.19546,SHALL,28.1,0
10708066,-31.046913,121.19547,SOIL,3.299,10708377,-31.046913,121.19547,SOIL,59.9,0
10707924,-31.045118,121.19551,SOIL,3.431,10708235,-31.045118,121.19551,SOIL,46.5,0
10707907,-31.043297,121.19554,SOIL,3.3,10708218,-31.043297,121.19554,SOIL,61.6,0
10707881,-31.041485,121.19558,SOIL,3.199,10708192,-31.041485,121.19558,SOIL,49.0,0
11709755,-31.023863,121.19593,SHALL,30.132,11711781,-31.023863,121.19593,SHALL,39.0,0
11710861,-31.023014,121.19594,SHALL,22.283,7094118,-31.023014,121.19594,SHALL,0.037,0
11710869,-31.023466,121.195946,SHALL,18.288,7094146,-31.023466,121.195946,SHALL,0.041,0
3050020,-30.982635,121.195946,SOIL,23.106,3050019,-30.982635,121.195946,SOIL,85.4,0
11708705,-31.022573,121.19597,SHALL,21.626,7093985,-31.022573,121.19597,SHALL,0.031000001,0
10708065,-31.04692,121.196,SOIL,3.063,10708376,-31.04692,121.196,SOIL,50.3,0
10707923,-31.045109,121.19603,SOIL,4.084,10708234,-31.045109,121.19603,SOIL,53.8,0
10707908,-31.04334,121.196075,SOIL,3.609,10708219,-31.04334,121.196075,SOIL,63.7,0
10707880,-31.0415,121.196075,SOIL,3.327,10708191,-31.0415,121.196075,SOIL,55.7,0
11710868,-31.023544,121.19637,SHALL,16.944,7094145,-31.023544,121.19637,SHALL,0.056,0
11708836,-31.023003,121.19642,SHALL,18.761,7094119,-31.023003,121.19642,SHALL,0.041,0
11708704,-31.022633,121.196434,SHALL,27.137,7093984,-31.022633,121.196434,SHALL,0.040000003,0
11709754,-31.023878,121.1965,SHALL,31.434,11711780,-31.023878,121.1965,SHALL,52.5,0
10708064,-31.046938,121.196526,SOIL,18.383,10708375,-31.046938,121.196526,SOIL,51.3,0
10707922,-31.045124,121.19656,SOIL,3.431,10708233,-31.045124,121.19656,SOIL,47.8,0
10707909,-31.043303,121.19658,SOIL,3.431,10708220,-31.043303,121.19658,SOIL,59.9,0
10707879,-31.041498,121.19663,SOIL,3.137,10708190,-31.041498,121.19663,SOIL,54.7,0
3050018,-30.983288,121.19667,SOIL,23.453,3050017,-30.983288,121.19667,SOIL,54.8,0
7094771,-31.011694,121.19669,SHALL,3.578,7092329,-31.011694,121.19669,SHALL,0.016,0
11710863,-31.023039,121.196976,SHALL,17.735,7094120,-31.023039,121.196976,SHALL,0.053000003,0
11710729,-31.022596,121.19699,SHALL,10.916,7093983,-31.022596,121.19699,SHALL,0.029000001,0
11709753,-31.023859,121.19701,SHALL,30.946,11711779,-31.023859,121.19701,SHALL,36.2,0
11708841,-31.023462,121.19701,SHALL,32.676,7094144,-31.023462,121.19701,SHALL,0.034,0
